,date,tencent,ali,sum_13
665,20210917 17,120996,168862,593798
666,20210917 18,124210,174145,610789
667,20210917 19,123259,173544,614216
668,20210917 20,113660,162763,577973
669,20210917 21,106799,157859,547659
670,20210917 22,88067,131192,452032
671,20210917 23,83408,123103,426578
672,20210918 00,75163,107369,379059
673,20210918 01,59587,82838,306654
674,20210918 02,42088,56814,224830
675,20210918 03,31807,42714,175648
676,20210918 04,26664,35668,149504
677,20210918 05,28088,36137,150486
678,20210918 06,41029,50981,204018
679,20210918 07,79433,99678,370929
680,20210918 08,131025,171538,638996
681,20210918 09,155877,210274,767046
682,20210918 10,166619,230037,824362
683,20210918 11,151728,208401,741221
684,20210918 12,141632,195843,692543
685,20210918 13,154860,216056,773476
686,20210918 14,156845,224510,793710
687,20210918 15,155864,220525,785892
688,20210918 16,142625,203877,711183
689,20210918 17,117349,164986,574803
690,20210918 18,115302,163140,569918
691,20210918 19,112078,163811,563929
692,20210918 20,104352,153593,527089
693,20210918 21,99545,145058,501996
694,20210918 22,90146,130017,447659
695,20210918 23,81398,119583,412763
696,20210919 00,77257,111205,384779
697,20210919 01,60013,83413,301975
698,20210919 02,42206,56883,218840
699,20210919 03,31446,43376,170952
700,20210919 04,25502,34198,142412
701,20210919 05,25965,33731,139331
702,20210919 06,36423,46501,182312
703,20210919 07,54289,69554,260220
704,20210919 08,79992,105854,384663
705,20210919 09,98850,136787,489810
706,20210919 10,106387,150725,528743
707,20210919 11,105365,149841,518231
708,20210919 12,102148,145770,505696
709,20210919 13,100811,146686,513848
710,20210919 14,102768,149220,523058
711,20210919 15,107103,153790,545067
712,20210919 16,101727,146206,517938
713,20210919 17,96989,135827,478049
714,20210919 18,95305,135565,473449
715,20210919 19,93585,136620,478787
716,20210919 20,94866,137560,482544
717,20210919 21,88030,128521,448202
718,20210919 22,81712,122962,418611
719,20210919 23,80860,118417,403022
720,20210920 00,71755,104269,357133
721,20210920 01,57526,82758,292135
722,20210920 02,40476,58100,218330
723,20210920 03,30463,43285,168850
724,20210920 04,25706,36845,143990
725,20210920 05,25639,34996,138707
726,20210920 06,35349,45463,177733
727,20210920 07,53266,68346,254521
728,20210920 08,76427,99952,370117
729,20210920 09,93885,130288,468349
730,20210920 10,102865,148121,517682
731,20210920 11,103759,150692,516517
732,20210920 12,102743,147614,512441
733,20210920 13,99914,145003,512402
734,20210920 14,103790,148672,531863
735,20210920 15,105648,153827,544103
736,20210920 16,105514,150913,532627
737,20210920 17,95641,138552,488551
738,20210920 18,97599,140043,491814
739,20210920 19,95322,137847,484760
740,20210920 20,90634,133798,463902
741,20210920 21,91000,136563,468290
742,20210920 22,82846,125207,423977
743,20210920 23,83478,123978,423437
744,20210921 00,75696,109809,380403
745,20210921 01,57275,80968,293833
746,20210921 02,41230,57334,220800
747,20210921 03,31786,42753,174548
748,20210921 04,24922,33244,139937
749,20210921 05,25746,33764,139661
750,20210921 06,33919,42446,171751
751,20210921 07,50567,62841,244855
752,20210921 08,72621,95719,356574
753,20210921 09,93217,126008,458955
754,20210921 10,99900,143044,508619
755,20210921 11,101862,143092,505584
756,20210921 12,100851,141787,499658
757,20210921 13,100337,141373,503904
758,20210921 14,100138,144000,516209
759,20210921 15,102616,148788,529964
760,20210921 16,104487,148256,528107
761,20210921 17,98551,139515,494618
762,20210921 18,96320,137227,486078
763,20210921 19,92363,135132,478913
764,20210921 20,97747,143545,505330
765,20210921 21,96193,138774,489689
766,20210921 22,84959,125701,436427
767,20210921 23,81165,121922,419308
768,20210922 00,76611,112054,390565
769,20210922 01,54479,77253,284698
770,20210922 02,38048,53366,212578
771,20210922 03,28250,39481,163408
772,20210922 04,23956,32450,137081
773,20210922 05,24889,32425,140239
774,20210922 06,36722,47213,190757
775,20210922 07,77202,97317,364762
776,20210922 08,129932,173186,644501
777,20210922 09,151316,211112,768426
778,20210922 10,157407,223600,802105
779,20210922 11,146323,204260,721006
780,20210922 12,132936,189494,661242
781,20210922 13,148168,213538,758995
782,20210922 14,153347,220457,785271
783,20210922 15,158998,229562,802144
784,20210922 16,152235,217076,759149
785,20210922 17,128038,179634,626727
786,20210922 18,127873,183918,639361
787,20210922 19,128629,188401,646891
788,20210922 20,119714,178326,612644
789,20210922 21,106668,162196,553086
790,20210922 22,89722,139298,471544
791,20210922 23,82446,124897,429319
792,20210923 00,77284,116578,401947
793,20210923 01,55504,79014,291660
794,20210923 02,37483,51755,203780
795,20210923 03,27749,37546,159030
796,20210923 04,24491,31808,139323
797,20210923 05,26736,34697,146966
798,20210923 06,39602,49682,199170
799,20210923 07,78183,98873,372314
800,20210923 08,128458,166612,623389
801,20210923 09,147006,209126,741896
802,20210923 10,160185,233496,815680
803,20210923 11,155088,218878,764576
804,20210923 12,139195,198272,693406
805,20210923 13,155718,220431,791809
806,20210923 14,162433,232105,825606
807,20210923 15,156854,225703,800029
808,20210923 16,145216,213886,740644
809,20210923 17,124259,177492,631185
810,20210923 18,127379,188215,647650
811,20210923 19,131377,192470,664845
812,20210923 20,116314,168434,588993
813,20210923 21,104551,155325,537599
814,20210923 22,93504,139249,478649
815,20210923 23,81508,122502,417151
816,20210924 00,72053,107166,375802
817,20210924 01,47508,66558,251352
818,20210924 02,33725,45138,185398
